epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.4551,1.19866,2.62773,1.51894,0.76896,0.71146,0.79719,0.61597,0.78599,1.09048,1.15325,0.000132601,0.000132601,0.000132601
2,174.375,1.13866,1.39566,1.45303,0.73504,0.75527,0.82834,0.6257,0.8098,1.02993,1.17423,0.000260669,0.000260669,0.000260669
3,259.314,1.15219,1.27035,1.47724,0.79468,0.79746,0.86189,0.66257,0.80279,0.86054,1.17685,0.000383456,0.000383456,0.000383456
4,344.321,1.12863,1.18262,1.46245,0.86367,0.86647,0.91959,0.7199,0.73755,0.70974,1.1305,0.00037624,0.00037624,0.00037624
5,429.302,1.09697,1.06267,1.42164,0.86789,0.83592,0.92029,0.73513,0.72631,0.72323,1.10935,0.00036832,0.00036832,0.00036832
6,513.604,1.06063,0.97965,1.39662,0.86247,0.87188,0.92827,0.74111,0.71309,0.66342,1.09968,0.0003604,0.0003604,0.0003604
7,599.46,1.03465,0.91965,1.37956,0.89476,0.90675,0.93384,0.75287,0.67805,0.59656,1.09093,0.00035248,0.00035248,0.00035248
8,684.368,1.03824,0.8932,1.38018,0.89513,0.86891,0.93259,0.72581,0.73966,0.6189,1.12568,0.00034456,0.00034456,0.00034456
9,769.237,0.9913,0.83229,1.35368,0.94695,0.89188,0.93819,0.77746,0.63282,0.53681,1.04459,0.00033664,0.00033664,0.00033664
10,854.434,0.97693,0.80667,1.34115,0.91446,0.89631,0.94356,0.80353,0.57686,0.51416,1.0089,0.00032872,0.00032872,0.00032872
11,938.788,0.98297,0.78045,1.34653,0.94194,0.9063,0.95272,0.80838,0.60045,0.45658,1.0153,0.0003208,0.0003208,0.0003208
12,1023.21,0.94321,0.75851,1.32101,0.93437,0.90295,0.9552,0.80418,0.59595,0.48107,1.00819,0.00031288,0.00031288,0.00031288
13,1108.12,0.9343,0.7332,1.30302,0.92693,0.91197,0.95811,0.81159,0.58569,0.45879,1.01827,0.00030496,0.00030496,0.00030496
14,1192.49,0.93598,0.72618,1.31357,0.92525,0.92592,0.95384,0.80414,0.57503,0.46014,1.00107,0.00029704,0.00029704,0.00029704
15,1276.91,0.89317,0.6686,1.27282,0.94515,0.90336,0.9561,0.81375,0.55485,0.45366,0.99957,0.00028912,0.00028912,0.00028912
16,1362.6,0.89912,0.66784,1.28157,0.93715,0.93631,0.96306,0.83922,0.53858,0.41583,0.98567,0.0002812,0.0002812,0.0002812
17,1447.41,0.87937,0.65775,1.26231,0.94447,0.91708,0.96178,0.82756,0.5386,0.42096,0.98697,0.00027328,0.00027328,0.00027328
18,1531.71,0.86215,0.63903,1.26138,0.94691,0.91602,0.95355,0.82497,0.54215,0.431,1.0173,0.00026536,0.00026536,0.00026536
19,1616.49,0.86889,0.63302,1.26295,0.95653,0.92043,0.96108,0.84315,0.50231,0.41179,0.97767,0.00025744,0.00025744,0.00025744
20,1701.07,0.85873,0.61979,1.2554,0.95128,0.9243,0.96541,0.8383,0.53832,0.39238,0.99546,0.00024952,0.00024952,0.00024952
21,1785.66,0.84675,0.60598,1.25263,0.95548,0.93183,0.96879,0.84208,0.5117,0.3781,0.96644,0.0002416,0.0002416,0.0002416
22,1871.21,0.84256,0.60545,1.24949,0.95502,0.91137,0.95558,0.83642,0.51339,0.38391,0.98778,0.00023368,0.00023368,0.00023368
23,1956,0.83479,0.58855,1.24172,0.95129,0.92834,0.96477,0.85357,0.48196,0.36746,0.95752,0.00022576,0.00022576,0.00022576
24,2040.57,0.82638,0.57373,1.22788,0.9586,0.93124,0.96957,0.85428,0.49394,0.35217,0.95679,0.00021784,0.00021784,0.00021784
25,2125.87,0.81305,0.56468,1.21815,0.9611,0.93553,0.96881,0.86327,0.5017,0.35678,0.97982,0.00020992,0.00020992,0.00020992
26,2210.21,0.79519,0.54769,1.21823,0.93304,0.93568,0.96901,0.8555,0.48572,0.36707,0.97442,0.000202,0.000202,0.000202
27,2294.9,0.79107,0.53461,1.20707,0.9571,0.9313,0.97098,0.86152,0.48146,0.34799,0.94888,0.00019408,0.00019408,0.00019408
28,2380.2,0.7724,0.51672,1.19377,0.95956,0.94005,0.97102,0.86711,0.47252,0.33525,0.92609,0.00018616,0.00018616,0.00018616
29,2464.85,0.7766,0.5326,1.1955,0.96703,0.90778,0.97012,0.86025,0.47329,0.341,0.94068,0.00017824,0.00017824,0.00017824
30,2549.1,0.77923,0.51833,1.20015,0.96806,0.9388,0.977,0.8806,0.45042,0.32521,0.9409,0.00017032,0.00017032,0.00017032
31,2634.21,0.76649,0.51122,1.19449,0.95798,0.95005,0.97118,0.87164,0.4628,0.32918,0.94565,0.0001624,0.0001624,0.0001624
32,2718.53,0.7489,0.49415,1.17726,0.96734,0.92602,0.97147,0.86765,0.47682,0.31823,0.95938,0.00015448,0.00015448,0.00015448
33,2802.65,0.7425,0.4846,1.17039,0.95768,0.93591,0.97221,0.87832,0.45974,0.30429,0.93024,0.00014656,0.00014656,0.00014656
34,2888.4,0.74398,0.48257,1.17136,0.96527,0.9237,0.9702,0.87859,0.4513,0.31491,0.93733,0.00013864,0.00013864,0.00013864
35,2973.14,0.71332,0.46865,1.15491,0.96521,0.94251,0.97289,0.87224,0.47469,0.31771,0.96783,0.00013072,0.00013072,0.00013072
36,3058.39,0.71253,0.4672,1.1493,0.96189,0.94727,0.97234,0.87878,0.44674,0.30861,0.9312,0.0001228,0.0001228,0.0001228
37,3143.4,0.70643,0.46098,1.14846,0.9757,0.94677,0.97364,0.87706,0.44527,0.30166,0.93187,0.00011488,0.00011488,0.00011488
38,3228.23,0.70767,0.45686,1.14871,0.97231,0.94039,0.9743,0.88122,0.43367,0.29345,0.93192,0.00010696,0.00010696,0.00010696
39,3313.31,0.70497,0.44918,1.14591,0.96424,0.94419,0.97128,0.87939,0.44535,0.30539,0.9311,9.904e-05,9.904e-05,9.904e-05
40,3397.91,0.6951,0.44757,1.1428,0.97138,0.93988,0.97307,0.88271,0.44554,0.30029,0.92889,9.112e-05,9.112e-05,9.112e-05
41,3483.35,0.57211,0.29572,1.04887,0.96458,0.93435,0.96596,0.88097,0.44467,0.32374,0.93872,8.32e-05,8.32e-05,8.32e-05
